Timestamp,Ticker,Amount,Date of Pay,Type
,NVDY,31.5,1/1/2024,Backfill
1/2/2026,QLDY,0.1812,1/2/2026,Dividend
1/2/2026,MSTW,0.160759,1/2/2026,Dividend
1/2/2026,HOOW,0.653397,1/2/2026,Dividend
1/2/2026,PLTW,0.457329,1/2/2026,Dividend
1/2/2026,AVGW,0.596692,1/2/2026,Dividend
1/2/2026,GDXW,0.721615,1/2/2026,Dividend
1/2/2026,TSLW,0.393965,1/2/2026,Dividend
1/2/2026,AMDW,0.627923,1/2/2026,Dividend
1/2/2026,COIW,0.239946,1/2/2026,Dividend
1/2/2026,NVDW,0.469467,1/2/2026,Dividend
1/2/2026,ARMW,0.280865,1/2/2026,Dividend
1/2/2026,BABW,0.404007,1/2/2026,Dividend
1/2/2026,NFLW,0.24031,1/2/2026,Dividend
1/2/2026,UBEW,0.364014,1/2/2026,Dividend
1/2/2026,UNHW,0.451766,1/2/2026,Dividend
1/2/2026,GOOW,0.616638,1/2/2026,Dividend
1/2/2026,AMZW,0.354481,1/2/2026,Dividend
1/2/2026,METW,0.291952,1/2/2026,Dividend
1/2/2026,GLDW,0.345591,1/2/2026,Dividend
1/2/2026,MSFW,0.239433,1/2/2026,Dividend
1/2/2026,COSW,0.245977,1/2/2026,Dividend
1/2/2026,AAPW,0.211222,1/2/2026,Dividend
1/2/2026,BRKW,0.181439,1/2/2026,Dividend
1/2/2026,TSYW,0.122747,1/2/2026,Dividend
1/2/2026,MLPI,0.6524,12/27/2025,Dividend
1/2/2026,NLSI,0.2371,12/27/2025,Dividend
1/2/2026,NEHI,1.4097,12/27/2025,Dividend
1/2/2026,HMYY,0.49968,12/31/2025,Dividend
1/2/2026,RTYY,0.53282,12/31/2025,Dividend
1/2/2026,QBY,0.51143,12/31/2025,Dividend
1/2/2026,RGYY,0.49916,12/31/2025,Dividend
1/2/2026,YBMN,0.2455,12/30/2025,Dividend
1/2/2026,TEST,0.2679,12/29/2025,Dividend
1/2/2026,NVIT,0.2427,12/29/2025,Dividend
1/2/2026,SEMY,0.53184,12/31/2025,Dividend
1/2/2026,XRPM,0.675,12/30/2025,Dividend
1/2/2026,MSST,0.2013,12/29/2025,Dividend
1/2/2026,CWII,0.1256,12/29/2025,Dividend
1/2/2026,HOII,0.0896,12/29/2025,Dividend
1/2/2026,LLII,0.1665,12/29/2025,Dividend
1/2/2026,PLTI,0.08,12/29/2025,Dividend
1/2/2026,WMTI,0.087,12/31/2025,Dividend
1/2/2026,MAAY,0.39364,12/31/2025,Dividend
1/2/2026,IOYY,0.47754,12/31/2025,Dividend
1/2/2026,SOLM,0.6264,12/30/2025,Dividend
1/2/2026,ULTI,0.22,12/30/2025,Dividend
1/2/2026,KYLD,0.165,12/29/2025,Dividend
1/2/2026,NUGY,0.44634,12/31/2025,Dividend
1/2/2026,BBYY,0.36541,12/31/2025,Dividend
1/2/2026,FBYY,0.19371,12/31/2025,Dividend
1/2/2026,EHY,0.70291,12/30/2025,Dividend
1/2/2026,ETTY,0.4986,12/30/2025,Dividend
1/2/2026,SMYY,0.35261,12/31/2025,Dividend
1/2/2026,HOYY,0.36754,12/31/2025,Dividend
1/2/2026,CRCO,0.4942,12/24/2025,Dividend
1/2/2026,KSLV,0.5,12/8/2025,Dividend
1/2/2026,ESK,0.016,12/8/2025,Dividend
1/2/2026,HIYY,0.3145,12/31/2025,Dividend
1/2/2026,MTYY,0.22176,12/31/2025,Dividend
1/2/2026,PLYY,0.35413,12/31/2025,Dividend
1/2/2026,NIHI,0.5614,12/27/2025,Dividend
1/2/2026,ETHI,0.0947,12/31/2025,Dividend
1/2/2026,AMYY,0.42587,12/31/2025,Dividend
1/2/2026,AZYY,0.19938,12/31/2025,Dividend
1/2/2026,RDYY,0.4835,12/31/2025,Dividend
1/2/2026,GMEY,0.3829,12/31/2025,Dividend
1/2/2026,WPAY,0.379562,12/29/2025,Dividend
1/2/2026,SLTY,0.3947,12/30/2025,Dividend
1/2/2026,HIMY,0.1087,12/31/2025,Dividend
1/2/2026,SMCC,0.0877,12/31/2025,Dividend
1/2/2026,HOOI,0.1346,12/31/2025,Dividend
1/2/2026,PLT,0.1638,12/31/2025,Dividend
1/2/2026,AMDU,0.204,12/31/2025,Dividend
