Ticker,Date,Closing Price,Price + All Divs Received (No DRIP)
COYY,2025-07-29,24.76,24.76
COYY,2025-07-30,25.12,25.12
COYY,2025-07-31,25.66,25.66
COYY,2025-08-01,22.68,23.521
COYY,2025-08-04,22.85,23.691
COYY,2025-08-05,21.34,22.181
COYY,2025-08-06,21.64,22.481
COYY,2025-08-07,22.16,23.001
COYY,2025-08-08,21.39,22.953
COYY,2025-08-11,21.69,23.253
COYY,2025-08-12,21.86,23.423
COYY,2025-08-13,21.98,23.543
COYY,2025-08-14,22.1,23.663
COYY,2025-08-15,21.3,23.599
COYY,2025-08-18,21.56,23.859
COYY,2025-08-19,20.59,22.889
COYY,2025-08-20,20.6,22.899
COYY,2025-08-21,20.3,22.599
COYY,2025-08-22,21.09,24.08
COYY,2025-08-28,20.59,23.58
COYY,2025-08-29,19.54,23.216
COYY,2025-09-02,19.4,23.076
COYY,2025-09-03,19.38,23.056
COYY,2025-09-04,19.8,23.476
COYY,2025-09-05,18.83,23.047
COYY,2025-09-08,19.12,23.337
COYY,2025-09-09,19.55,23.767
COYY,2025-09-10,19.55,23.767
COYY,2025-09-11,19.69,23.907
COYY,2025-09-12,19.1,23.871
COYY,2025-09-15,19.27,24.041
COYY,2025-09-16,19.3,24.071
COYY,2025-09-17,19.06,23.831
COYY,2025-09-18,19.83,24.601
COYY,2025-09-19,19.33,24.636
COYY,2025-09-22,18.96,24.266
COYY,2025-09-23,18.36,23.666
COYY,2025-09-24,18.36,23.666
COYY,2025-09-25,17.81,23.116
COYY,2025-09-26,17.31,23.126
COYY,2025-09-29,17.78,23.596
COYY,2025-09-30,17.91,23.726
COYY,2025-10-01,17.96,23.776
COYY,2025-10-02,18,23.816
COYY,2025-10-03,17.52,23.838
COYY,2025-10-06,17.68,23.998
COYY,2025-10-07,17.46,23.778
COYY,2025-10-08,17.93,24.248
COYY,2025-10-09,18.12,24.438
COYY,2025-10-10,15.89,22.707
COYY,2025-10-13,15.79,22.607
COYY,2025-10-14,15.32,22.137
COYY,2025-10-15,15.1,21.917
COYY,2025-10-16,14.82,21.637
COYY,2025-10-17,14.13,21.374
COYY,2025-10-20,14.35,21.594
COYY,2025-10-21,14.23,21.474
COYY,2025-10-22,13.6,20.844
COYY,2025-10-23,13.72,20.964
